place_name,address,lat,lon,tags,description,category_clean,governorateId
Crossing to other side of str,"Nuweiba Beach, South Sinai, Egypt",30.093321,31.3386382,"beach, desert, historical_site, landmark","The site is identified as a biblical Red Sea crossing location where ancient pillars erected by King Solomon mark the passage of the Israelites. It is situated near Nuweiba Beach on the Egyptian side of the Red Sea, in the Sinai region. The description references the Exodus route, the Wilderness of Sin, and the crossing point opposite Nuweiba Beach in Saudi Arabia. This historic outdoor landmark attracts visitors interested in religious and archaeological heritage.",culture,20
9D Cinema,"Cairo Governorate, Egypt",30.018479,31.4129939,"cinema, family_friendly, theatre","9D Cinema is a modern movie theater located in Cairo, Egypt, offering a selection of films across multiple screening formats. It provides an immersive viewing experience with advanced technology such as 4DX and special promotional showtimes.",entertainment,9
Main Entrance Gate,,30.0169542,31.3897913,"accessible, historical_site, tourist_hotspot","Main Entrance Gate serves as the primary access point to the Giza Pyramids, offering paved pathways, accessible restrooms, and parking facilities. It provides a convenient entry for visitors, especially those with mobility needs, and connects to the iconic Sphinx and surrounding attractions. The site is highlighted as a key entry for tours and experiences at the historic complex.",culture,10
Sobhy Hussein Mosque,"Khan El-Khalili, Cairo",30.0000041,31.3308456,"historical_site, religious_site, tourist_hotspot","The al-Hussein Mosque (Arabic: مسجد الإمام ٱلحُسين) is a mosque and mausoleum, located near the Khan el-Khalili bazaar in Cairo, Egypt. Containing the tomb of Husayn ibn Ali that was originally built in 1154, the mosque and mausoleum were reconstructed in 1874. The mosque is located adjacent to the famous Al Azhar Mosque, in an area known as Al-Hussain, and is considered to be one of the holiest Islamic sites in Egypt. Some Shias believe that Husayn's head (ra's mubarak) is buried on the grounds of the mosque where a shrine currently stands.",culture,9
Leith ibn saud mosque,"Southern Cemetery, Cairo, Egypt",30.0076121,31.2577156,"historical_site, quiet_place, religious_site","The Mosque and Mausoleum of Imam al-Layth bin Sa'ad is a small Sunni Islam mosque and mausoleum dedicated to the Muslim jurist Imam Al-Layth bin Sa'ad, located in the southern portion of the City of the Dead (Cairo) of the Dead near to the Mausoleum of Imam al-Shafi'i, in Cairo, Egypt. A shrine was first built in 640 AH (1242/1243 CE), four centuries after the death of Imam al-Layth in 791 CE, and has slowly expanded over time. Today the mosque sits in a quiet corner of the Southern Cemetery almost under the Civilisation Museum Bridge overpass that has severed the Southern Cemetery in two since the mid 2010s, and it receives a steady stream of worshippers and visitors who come to pay their respects to Imam al-Layth in a tranquil environment.",culture,9
Nastic,"5A Waterway, New Cairo",30.0158318,31.4230807,"family_friendly, luxury, scenic, theatre","The 5th Settlement location is one of the main factors why it is one of the best areas in New Cairo, as its elite compounds are approximately: [...] Many world-class and local retail stores. Mountain View Hyde Park is one of the lavish compounds in New Cairo’s 5th Settlement. The project covers 200 acres of land, and it is located close to Al Rehab City and a 5-minute drive to AUC. Cairo Festival City Compound boasts a collection of standalone villas, twin houses, townhouses, apartments, penthouses, and duplexes.",activities,9
نادى المحامين النهرى,"Cairo, Egypt",29.9907548,31.2283862,"historical_site, river_view, scenic, tourist_hotspot","The Nile Club (نادي المحامين النهرى) is situated along the banks of the Nile River in Egypt, a waterway that has long served as a hub for tourism and cultural exchange. The surrounding area is known for its historic significance, with nearby attractions related to the Nile’s role in transportation, agriculture, and tourism. Its location near major urban centers and transport corridors enhances its accessibility and appeal to visitors seeking recreational activities.",entertainment,9
miraj hall,"Victor Emanuel Square, Smouha, Alexandria Governorate Alexandria, 5432080 Egypt",29.9559813,31.153332,"beach, family_friendly, tourist_hotspot","Located in the heart of Alexandria, Crowne Plaza Alexandria Mirage places you steps from dining, nightlife, cinemas, shopping malls, and key attractions like Cleopatra Beach and Alexandria Zoo. Host impactful events in the heart of Alexandria at Crowne Plaza Alexandria Mirage. From the Grand Mirage Ballroom to versatile spaces like Flute, Piano, The Curve, and Vibe, and a dedicated conference centre for smart meetings, our venues offer tailored layouts, advanced technology, and expert support for every occasion.",entertainment,4
Metro Cinema,"35 Talaat Harb, Cairo, Egypt",30.0515672,31.241306,"cinema, historical_site, luxury, tourist_hotspot","Metro Cinema is located in downtown Cairo at 35 Talaat Harb, formerly Soliman Pasha Street. Opened in 1939 and inaugurated with the film ""Gone With the Wind"", it was designed by architect Thomas W. Lamb in an Art Deco style alongside local architects Gaston Rossi, Paolo Caccia Dominioni, and Victor Salama. It was the first cinema in Egypt to feature air‑conditioning and retains a distinctive African‑savanna interior following its post‑fire reconstruction.",entertainment,9
ميدان الساعة,"21,Hanna Khalil St.,Kolaly - Shoubra (Cairo)",30.0107095,31.1760607,"budget_friendly, cozy, quiet_place","NAN TRADE is a company located in Cairo, Egypt, at 21, Hanna Khalil St., Kolaly - Shoubra. It operates in the home care and furniture sector, specifically within office supplies. The business is listed in the Egypt Business Database with a profile detailing its address and contact information. The entry provides a Google map reference for the location.",other,9
Attar Art,New Cairo,29.9915813,31.4341179,"art_gallery, museum","Ibrahim Al-Attar Egyptian artist Ibrahim Al-Attar was born in Cairo in 1961, where he still lives. His modern art paintings are based on numerous sketches and are artistic constructions devoid of any intended literary, social, ideological or political meaning.",culture,9
Hnaton Carpet School,"29.8633751, 31.2327498",29.8633751,31.2327498,"historical_site, landmark, tourist_hotspot","Egypt is one of the four ancient civilizations in the world, with a history of more than 5,000 years. It is an old and mysterious country and one of the earliest birthplaces of human civilization.",culture,10
Elmanfy City,"New Capital City, Egypt",29.974924,31.1558991,"family_friendly, luxury, tourist_hotspot","With all these New Capital City attractions, it will become the central nerve of Egypt in no time, where all your needs are present. This wide range of amenities in the city ensures that it is not just a residential and business place, but also everyone’s main destination when it comes to living their life and creating happy memories. What are you waiting for? Hit the WhatsApp button and take the chance with Nawy to live in the middle of all these attractions.",other,9
قيس عبه,,30.0187291,31.1924377,"beach, historical_site, nature","Travel to Egypt, is a major tourist attraction thanks to its strategic location on the Gulf of Aqaba and its diverse natural and historical landscape. Taba is famous for its beautiful sandy beaches, clear waters, and towering mountains, which offer breathtaking views. It also boasts important archaeological sites such as the Saladin Citadel on Pharaoh's Island.",activities,20
شارع الهرم اختصار,"Al Haram, Giza Governorate 3512201, Egypt",30.0036367,31.1857381,"guided_tours, historical_site, landmark, tourist_hotspot","Most visits take about 2–3 hours. Afterward, you can head back to Cairo for lunch, or if you’re on a combo tour, continue exploring Saqqara, Memphis, or relax on a Nile Felucca ride. Address: Al Haram, Giza Governorate 3512201, Egypt. Locate the Pyramids of Giza on the map.",activities,10
Dok Dok Boating,"Lake Nasser, Aswan, Egypt",30.0367696,31.2289963,"adventure, historical_site, luxury","On Lake Nasser, explore specifically Nubian sites such as Kalabsha and Beit El Wali. Get spoiled while traveling with our Luxury Safari Boat, Dabuka Blue, a handcrafted jewelry for your special adventure. Continue your journey with visits to Dakka, Wadi El Seboua, and Meharraqa, each offering unique insights into Nubian culture and history.",culture,1
Sharia al Muizz Li Din Allah,Islamic Cairo,30.0467278,31.2600713,"historical_site, landmark, tourist_hotspot","Sharia Al Muizz, as it’s usually called, named after the Fatimid caliph who conquered Cairo in AD 969, was Cairo's grand thoroughfare, once chock-a-block with storytellers, entertainers and food stalls. The part of Sharia Al Muizz just north of Khan Al Khalili’s gold district is known as Bein Al Qasreen, a reminder of the great palace complexes that flanked the street during the Fatimid era. Today the great Mamluk complexes provide one of Cairo’s most impressive assemblies of minarets, domes and striped-stone facades.",culture,9
سيدنا الحسين,"Near Khan el-Khalili bazaar, Islamic Cairo, Cairo, Egypt",30.0465867,31.2614212,"historical_site, religious_site, tourist_hotspot","Al-Hussein Mosque (Arabic: مسجد الإمام ٱلحُسين) is a mosque and mausoleum, located near the Khan el-Khalili bazaar in Cairo, Egypt. Containing the tomb of Husayn ibn Ali that was originally built in 1154, the mosque and mausoleum were reconstructed in 1874. The mosque is located adjacent to the famous Al Azhar Mosque, in an area known as Al-Hussain, and is considered to be one of the holiest Islamic sites in Egypt.",culture,9
السيدة نفيسه,"El-Fustat Road, Ein Elsira, Cairo",30.019316,31.2510038,"historical_site, landmark, museum, tourist_hotspot","The Grand Egyptian Museum (GEM; Egyptian Arabic: المتحف المصري الكبير el-Matḥaf el-Miṣriyy el-Kebir) is a national archaeological museum in Giza, Egypt. Dedicated to Ancient Egypt and its culture, society, and artifacts, the GEM is the largest museum in the world for a single civilization. Located about 2 kilometres (1.2 mi) from the Giza Pyramid Complex, the museum houses a collection of Egyptian artifacts from various periods of Egyptian civilization, from the Predynastic Period to Roman Egypt.",culture,9
Echo Club,"Cairo, Egypt",30.0590851,31.2077712,"live_shows, luxury, nightlife","Echo Privé is the finest khaliji club redefining the next level of entertainment in Egypt. Echo Privé offers you an ultra‑luxurious lounge and a high‑energy nightclub. Dance the night away to the best of Khaliji music & latest hits, whilst enjoying VIP benefits such as international DJs & live performances. The venue is one of a kind, decked out in black and gold touches with an exquisite stage and a DJ booth.",entertainment,9
ashraf,,30.1294985,31.2741646,"guided_tours, historical_site, nature, scenic","We offer many tourist services from Cairo to Aswan at the best prices Enjoy a day tour from Luxor to Edfu and Kom Ombo to see two of the most beautiful temples in Egypt, the Kom Ombo Temple and the Edfu Temple. Aswan, the enchanting jewel of southern Egypt, is famous for its stunning natural scenery and unique ancient monuments.",activities,9
Sinnari House,"Monge passage, near Sayeda Zeinab Mosque, Cairo, Egypt",30.0329709,31.2427314,"historical_site, landmark, tourist_hotspot","El Sennari's house, located near the Sayeda Zeinab Mosque in Cairo, was built by Ibrahim Khatkhuda El Sennari in 1794 and was used by French scientists during the Description de l'Égypte project. It features one of the largest Mashrabeya window displays in Egypt and a common open courtyard typical of historical Egyptian houses.",culture,9
Sinnari House,"Monge passage, Cairo, Egypt",30.0480594,31.2374762,"historical_site, landmark, museum","El Sennari's house, Located far from the main tourist attractions of Egypt, Cairo, travelers who visit Egypt always miss the medieval Arab neighborhoods, but today we offer our travelers a second time in Cairo to know (Beit El Sennari) the Sennari House, located near the Sayeda Zeinab Mosque in Cairo. The El Sennari house was built by Ibrahim Khatkhuda El Sennari, a wealthy merchant in 1794.",culture,9
Zamalek tree,"Al Borg Street and entrance of Cairo Tower, Zamalek, Cairo, Egypt",30.0466497,31.2250489,"historical_site, landmark, nature, quiet_place","Located at Al Borg Street and at the entrance of the Cairo tower, the National Tree of India salutes you, the tree celebrated by the Indian Nobel Laureate Rabindranath Tagore. It is one of the oldest banyan trees in Cairo, planted in 1868 – the same year poet Laureate Ahmed Shawqi was born.",culture,9
Tersa Youth Center,Government District - New Administrative Capital,29.9666312,31.2098791,"cozy, family_friendly, kid_friendly, local_favorite","Tersa Youth Center is a youth development facility operating under Egypt’s Ministry of Youth and Sports, engaged in research and capacity‑building projects aimed at enhancing programs and administrative efficiency. The center collaborates with UNFPA and focuses on increasing youth participation, especially among females, and improving activity offerings across multiple governorates. Its initiatives emphasize community service, education, and sports to empower young Egyptians.",activities,9
حديقه عباد الرحمن,"Medieval Cairo, Egypt",30.0133768,31.3126343,"historical_site, nature, park, scenic","Al-Azhar Park (Arabic: حديقة الأزهر) is a public park located in qism al-Darb al-Ahmar, in Historic Cairo, Egypt. It covers an area of 30 hectares (74 acres) and was created in May 2005. The park revitalized the Darb al-Ahmar neighborhood, uncovering the Ayyubid wall and surrounding over 60 historical monuments.",outdoor,9
Anubieion,"Saqqara, Egypt",29.8751644,31.2230149,"historical_site, religious_site, tourist_hotspot","In a nearby shaft, the team unearthed cat mummies along with human remains. Just north of the Bubasteion is the Anubieion, a temple complex dedicated to the jackal-headed god of death, Anubis, where mazelike tunnels are estimated to have held millions of mummified dogs. Beyond that are catacombs once filled with mummified ibises, hawks and baboons. To the west is the Serapeum, where Apis bulls were laid to rest.",culture,10
شقة مصر نصر,"مدينة نصر, Cairo, Egypt",30.0457664,31.3464302,"cozy, family_friendly, quiet_place","The listing advertises a strategically located apartment in Nasr City, offering modern amenities and convenient access to urban facilities. Images showcase various rooms and living spaces, indicating a well-furnished rental option. The property is positioned within a vibrant district known for its residential appeal.",other,9
قهوة شيشة مهندسين,Address not provided,30.0617966,31.2040796,"cafe, cozy, instagrammable","The venue is a coffee and shisha establishment situated in Cairo, providing a setting that combines traditional shisha with contemporary coffee selections. Its location falls within a bustling commercial district known for engineering and business services, reflecting a dynamic professional environment. The spot aligns with Egypt’s expanding specialty coffee culture, attracting patrons seeking a relaxed yet lively atmosphere.",food_drink,9
Big Screen,Cairo,29.9871935,31.4401287,"cinema, desert, nightlife","A starry sky, the glow of the big screen, and a night filled with shared laughter and warmth ✨🎬 
Egypt’s first open-air cinema is where movie magic truly comes alive — join us for the next unforgettable night 🍿",entertainment,9
Al Masar Art Gallery,"Baehler’s Mansion, 157 b. 26 July St., Ground Floor, Zamalek, Cairo, Egypt",30.0594759,31.2242203,"art_gallery, museum, quiet_place","Capitalizing on an experience of twenty years in the curating and promoting of Modern and Contemporary Egyptian Art, I have transformed a turn of the twentieth Century space into a unique exhibition venue. Al Masar Gallery has established collaborations with major international museums and galleries in the modern art sphere, demonstrating leadership in promoting Egypt’s Modern and Contemporary Art.",culture,9
هيئ تعاونيات البناء,"Al Qahirah, Egypt",30.050965,31.3469807,"accessible, hidden_gem, local_favorite","هيئ تعاونيات البناء is a governmental cooperative that focuses on construction services within the Business Services sector of Egypt. It operates in Cairo, providing construction and home improvement services to the local community. The organization is listed among the many Business Services locations across the capital.",other,9
Cleopatra’s Museum,"Tahrir Square, Cairo, Egypt",29.9972735,31.217199,"historical_site, museum, tourist_hotspot","The Egyptian Museum also known Cairo Museum is the oldest archaeological museum in the Middle East, and houses the largest collection of Pharaonic antiquities in the world located in the heart of Tahrir Square, Cairo. The Museum of Egyptian Antiquities is a unique building designed to host the world’s oldest collection of Pharaonic art and monuments. Built on an area of 13,600 sq. meters, with more than 100 exhibition halls, the museum is a product of a competition launched by the Egyptian Government in 1895 and thus it is considered the first national museum in the Middle East. The star exhibit has for the best part of a century been the treasure’s of Tutankhamun’s tomb (discovered in 1922) which occupy two whole galleries on the upper floor.",culture,9
مركز شباب المشابك,"New Cairo, Egypt",30.0140006,31.19605,"family_friendly, local_favorite, tourist_hotspot",Al Rehab Sporting Club is a comprehensive sports facility equipped with a wide range of amenities to accommodate various sports and physical activities. The sports base features various training equipment and specialised facilities to cater to athletes and fitness enthusiasts of all skill levels.,activities,9
Masr 5614,"34J6+2Q5, Qism Bani Sweif, Beni Suef, Beni Suef Governorate 2721484, Egypt",30.0617969,31.3400787,"cozy, family_friendly, local_favorite","Masr Towers is a Real estate agency located in Beni Suef, EG. If you are searching for Real Estate Agencies businesses in Beni Suef, Egypt, this entity offers services related to Real estate agency in the local area. Many people searching for Real estate agency in Beni Suef choose Masr Towers because of its convenient location and services.",other,18
Brezzer,Egyptian Border Viewpoint,30.0614591,31.3400815,"hidden_gem, quiet_place, scenic","This place has no archeological remains or any historical significance, yet it is a Tier 2 location! The views from here are perhaps the best that I have seen in the entire Eretz Yisrael! There is a bench there, and I sat on it in astonishment for half an hour.",outdoor,23
Contemporary Image Collective (CIC),"2nd Floor, 27 Talaat Harb St., Downtown, Cairo",30.0498341,31.2403083,"art_gallery, cinema, local_favorite","Contemporary Image Collective (CIC) is an independent non-profit art initiative founded in Egypt in 2004. CIC’s mission spans contemporary art and media educational programming that responds to and develops visual culture and artistic practice, engagement, and discourse.",culture,9
SWISS ARCHEOLOGICAL MUSEUM,"Grand Egyptian Museum, Giza, Egypt",30.0621364,31.2239665,"historical_site, museum, tourist_hotspot","The Grand Egyptian Museum is a national archaeological museum located in Giza, Egypt, dedicated to Ancient Egypt and its culture, society, and artifacts. It is the largest museum in the world focused on a single civilization and houses over 100,000 ancient artefacts from 30 dynasties. The complex spans nearly 500,000 sq metres and includes galleries, a conference centre, a Nile Valley park, the Khufu Boat Museum, and conservation facilities.",culture,10
local bazaar,"Khan El Khalili Bazaar, Cairo, Egypt",30.0489115,31.252135,"historical_site, local_favorite, tourist_hotspot","A bustling market in the heart of Cairo, offering vibrant stalls of handcrafted textiles, jewelry, and spices. Visitors can experience authentic Egyptian culture and shop for unique souvenirs while enjoying the historic atmosphere.",culture,9
مركز شباب نزلة الاشطر,"New Administrative Capital, Egypt",29.9517731,31.2001367,"accessible, family_friendly, landmark, tourist_hotspot","The venue is an indoor sports hall located in the New Administrative Capital of Egypt. With a capacity of 7,500, it was built in 2020 and opened in 2021, serving as a key venue for the 2021 World Men's Handball Championship. The facility is part of the larger Sports City New Capital complex, which spans 93 acres and includes multiple arenas, stadiums, and courts for various sports.",entertainment,9
Chan el-Chalili,"Khan el-Khalili, Cairo, Egypt",30.0475461,31.2624073,"historical_site, local_favorite, tourist_hotspot","Chan el-Chalili is a historic bazaar situated in the heart of Islamic Cairo, dating back to the Mamluk era. It functions as a bustling market where traditional crafts, souvenirs, and street food are sold, offering visitors a vivid glimpse into Egypt's cultural heritage.",culture,9
The Digger Hub CfC,"Cairo Festival City Mall, The Village, New Cairo, Cairo",30.0290423,31.409966,"family_friendly, kid_friendly, park","The digger hub is a building academy and amusement park; the first of its kind in Egypt. It is custom for children of age 2 to 15 years old. Established in Egypt, 2019, The Digger Hub is a pioneering education-entertainment building academy dedicated to empowering children with practical skills beyond digital screens.",entertainment,9
House of Kharazati,,30.0521212,31.2622164,"beach, guided_tours, historical_site, nature, tourist_hotspot","House of Kharazati is a major tourist attraction located on the Gulf of Aqaba, known for its beautiful sandy beaches, clear waters, and towering mountains. The site features important archaeological landmarks such as the Saladin Citadel on Pharaoh's Island. Visitors can explore the natural landscape and historic sites while enjoying guided tours and hospitality services. Contact information includes an email at Info@nicetours.com and a WhatsApp number +20 128 199 8472.",activities,20
Studio Emad Eddin Foundation,"18 Emad Eddin Street, Ataba, Downtown Cairo, Egypt",30.0557471,31.244208,"art_gallery, live_shows, theatre","Our mission is to create an artistic and cultural atmosphere which is neutral and alternative, one which expands the foundation of artistic practice and helps independent performing artists in Egypt to establish continuity in developing, creating and linking them with the outside world. Cluster Mapping Initiative is part of CLUSTER’s mandate for critical engagement in the city and public space through urban research, programs and design interventions. This initiative aims at the documentation and analysis of tangible and intangible urban elements, and establishing a reliable archive available to researchers, designers and policy makers, and accessible to engaged citizens.",culture,9
Oriental weavers,"Head Office 8 Zakaria Khalil Street, Oriental Weavers Complex Heliopolis, Cairo, Egypt",30.1068908,31.3673902,"local_favorite, luxury, tourist_hotspot","Oriental Weavers was inaugurated in 1979 in Cairo. Today, Oriental Weavers is considered the largest producer of machine-made rugs and carpets in the world, meeting demands in both the Egyptian market and committed to exports to more than 118 countries around the world.",other,9
Dragon Island Park,"Cairo Lake – Gate 2, Next to the National Museum of Egyptian Civilization, Next to Champions Club Gate, Fustat, Cairo",30.0101645,31.2540369,"adventure, nature, park","Dragon Island Park is Cairo's largest adventure and activity park located on Cairo Lake. It offers a variety of thrill activities including ziplines, climbing walls, a floating trampoline, and boat tours. The park combines adventure, fun, and nature for visitors of all ages.",activities,9
Gamal Abdel Nasser Museum,"the late leader's former residence in Manshiyat al-Bakri, in the Heliopolis district of Cairo",30.0865458,31.3106874,"historical_site, landmark, museum, tourist_hotspot","The Gamal Abdel Nasser Museum is a biographical museum in Cairo, Egypt. The museum is dedicated to president Gamal Abdel Nasser, the second President of Egypt. Opened in 2016, the Gamal Abdel Nasser Museum occupies Nasser's former residence in Heliopolis, where he lived with his family during his 18 years in power.",culture,9
Adam Henein Museum,Cairo's Al-Harraniya district,29.9719641,31.1751941,"art_gallery, historical_site, museum","The Adam Henein Museum opened 18 January 2014 in Cairo's Al-Harraniya district and was designed by fellow artist and architect Ramses Wissa Wassef, originally to function as Henein's personal home. The interior of the museum contains 3 different floors all displaying sculptures as well as paintings from the artist, and is the largest collection of Henein’s artistic work.",culture,9
Smart Gym,"77 A ELNASR ST, 2ND FLOOR , NASR CITY.",30.0285607,31.4969876,"family_friendly, kid_friendly, local_favorite",Helping you achieve your weight loss and muscle goals. Offering you various packages that suit you best. Providing you with the top-notch classes and newest equipment.,activities,9
National Military museum,"Cairo Citadel, Cairo, Egypt",30.0309246,31.2625649,"family_friendly, historical_site, museum, tourist_hotspot","The Egyptian National Military Museum is situated within the Cairo Citadel, overlooking the Mokattam Hills. Established in 1938, it showcases the history of the Egyptian Armed Forces through weapons, artifacts, and exhibits. The museum is open to the public with regular hours and ticket pricing.",culture,9
Sabil-Kuttab of Abdel Rahman Katkhuda,"Al-Muizz li Din Allah Street, Cairo, Egypt",30.050709,31.261593,"historical_site, landmark, religious_site",The opening seen here sits within a semi-circular arch supported by two marble spiral pillars. The tasbil are covered with copper grills in the form of intersecting tri-lobed arches; these allow drinking-cups to be passed through them. The spandrels of the arches are decorated with splendid geometric designs executed in fine polychrome marble.,culture,9
Ice skating,"Sun City Mall Ice Rink, First Floor, Sel-Nasr Rd, Sheraton Al Matar, El Nozha, Cairo Governorate, Egypt",30.1032428,31.3867592,"adventure, cafe, family_friendly","Sun City Mall Ice Rink, First Floor, Sel-Nasr Rd, Sheraton Al Matar, El Nozha, Cairo Governorate, Egypt. It offers public skating sessions, family sessions, ice skating events, ice skating lessons, figure skating lessons and an on‑site cafe.",activities,9
Football,"Cairo, Egypt",30.0074524,31.1982112,"family_friendly, landmark, scenic, tourist_hotspot","Football in Egypt is centered around a network of large stadiums, including the iconic Cairo International Stadium with a capacity of 75,000, the modern Borg El Arab Stadium in Alexandria with 86,000 seats, and the newly built Misr Sports City & Capital Stadium in the New Administrative Capital. These venues host national team matches, domestic league fixtures, and international competitions, reflecting Egypt's strong football culture. The stadiums are distributed across major cities such as Cairo, Alexandria, and Suez, offering diverse settings for major matches. The extensive stadium infrastructure underscores the sport's prominence nationwide.",activities,9
Falak Art Gallery,"7 Gamal El Din Abou El Mahasen Street, Garden City, Cairo",30.0371418,31.2331189,"art_gallery, cafe, cozy, local_favorite","A space where creativity thrives—explore inspiring art, savor delicious flavors, and discover handcrafted treasures. Falak is a place to connect, unwind, and be inspired. explore, create, and connect.",culture,9
Diplo Community,"57th kilo of Alexandria - Marsa Matrouh Road, North Coast, Egypt",29.9929531,31.4350383,"beach, instagrammable, luxury","The Diplo 2 North Coast developer turned the project into a tranquil heaven, offering vacationers a rejuvenating summer. It implemented a broad array of amenities in the project, from leisure destinations to unmatched security measures, ensuring residents’ facilitated experience. The resort is a serene coastal community where you can indulge in unlimited fun and relaxation. There are luxurious units in Diplo 2 North Coast, and they are for sale at different price rates.",food_drink,4
giza pyramids view from afar,South of the Pyramid of Menkaure,29.9391169,31.1648156,"desert, historical_site, scenic, tourist_hotspot","Our favorite view of the Pyramids of Giza is from the dunes that are located south of the Pyramid of Menkaure (see the map below). 9 Pyramids Lounge is located in the dunes that sit south of the pyramids. It gets its name because it offers a view of all nine pyramids from its terrace. The best place to make the journey is from the Panorama Viewpoint, next to the café.",outdoor,10
giza pyramids view,"Giza Plateau, Egypt",29.9599529,31.151698,"historical_site, scenic, tourist_hotspot","The site offers a panoramic viewpoint on the Giza Plateau where visitors can walk behind the Pyramids of Khafre and Menkaure and capture stunning photos of the pyramids with camels in the desert background. The walk involves gravel, dirt, and sand terrain, taking about 15‑20 minutes to reach the main photo spot.",culture,9
Bayt al-Sinnari,"Monge passage, Cairo, Egypt",30.0329644,31.2428189,"historical_site, museum, tourist_hotspot","Bayt al‑Sinnari is a historic Ottoman‑style mansion located in the Al‑Sayeda Zainab neighborhood of Cairo, Egypt. Built in 1794 and restored in 2002, it now serves as a cultural centre managed by the Bibliotheca Alexandrina, showcasing Egyptian heritage and hosting various cultural activities.",culture,9
Abdeen Palace Museum,"Abdeen Square, Downtown Cairo, Egypt",30.0434053,31.2478331,"historical_site, landmark, museum","Abdeen Palace was established by Khedive Ismail Pasha in 1863. This is undoubtedly one of the most palaces of Egypt & must-see sites & attractions in Cairo city, and it is located on the street of Al-Kasr Al-Ainy Street. It took around ten years to be built, and it has some of the most fascinating architectural designs, including the best oriental, French, and Italian designs with some rare paintings.",culture,9
Sadat's Museum,"Next to the planetarium of the Bibliotheca Alexandrina, Alexandria, Egypt",29.9981468,31.2169877,"historical_site, museum, tourist_hotspot","The Sadat Museum is a cultural museum located in Alexandria, Egypt, dedicated to the legacy of former President Anwar Al Sadat. Inaugurated on February 17, 2009, it sits next to the planetarium of the Bibliotheca Alexandrina and occupies approximately 200 square meters. The museum displays Sadat's military uniform, desk, radio, personal belongings, swords, and a collection of rare books and artifacts related to his life and presidency. Its extensive collection includes over 14,000 images and 61 hours of video documenting Sadat's history.",culture,4
Egypt's Modern History Museum,"Giza, Cairo, Egypt",29.9981468,31.2168924,"family_friendly, historical_site, museum, tourist_hotspot","The Grand Egyptian Museum, a landmark of modern Egyptology, is strategically located just 2 kilometers northwest of the iconic Giza Pyramids complex, offering visitors a unique experience that combines ancient wonders with contemporary architectural brilliance. Situated only 15 kilometers from Cairo’s bustling city center, the museum is easily accessible by car, making it a convenient destination for travelers and locals alike. After two decades and an estimated cost of $1bn, the Grand Egyptian Museum (GEM) opened its doors to the public on Tuesday, just a few days after the official opening ceremony on Saturday. The complex spans nearly 500,000sq metres (5,381,900sq ft) and will house more than 100,000 ancient artefacts from the 30 dynasties of ancient Egypt.",culture,10
Museum Of Pyramids Building,"Giza, Egypt",29.998149,31.216811,"historical_site, landmark, museum, tourist_hotspot","The Grand Egyptian Museum, a landmark of modern Egyptology, is strategically located just 2 kilometers northwest of the iconic Giza Pyramids complex, offering visitors a unique experience that combines ancient wonders with contemporary architectural brilliance. The museum houses a collection of Egyptian artifacts from various periods of Egyptian civilization, from the Predynastic Period to Roman Egypt. There are an estimated total of over 100,000 artifacts, including at least 20,000 that were displayed for the first time ever, such as the complete King Tutankhamun collection comprising 5,398 pieces, on display in a 7,500 m2 (81,000 ft2) section of the museum.",culture,10
Mummification Museum,"Cairo, Egypt",29.9981504,31.216728,"family_friendly, historical_site, museum","The museum presents Egypt's rich historical narrative and mummified artifacts within a modern exhibition space in Cairo. Visitors can explore curated displays that trace the civilization from pre‑history through the pharaonic era, featuring items such as broad collars, statues, and golden ornaments. Interactive tours and educational programs aim to engage audiences of all ages with the legacy of ancient Egypt.",culture,9
Coptic Museum,"3 Mar Girgis, Old Cairo, Cairo Governorate, Egypt",29.9981511,31.2166442,"historical_site, landmark, museum","The Coptic Museum, located in Old Cairo, Egypt, houses the world’s largest collection of Coptic Christian artifacts and was established in 1908 by Marcus Simaika Pasha. Its two wings display stonework, frescoes, textiles, ivory, icons, woodwork, metalwork, pottery, and glass, illustrating the evolution of Coptic art from antiquity to the present.",culture,9
Napoleon's Museum,,29.9981525,31.2165645,"art_gallery, historical_site, museum","The place is an exhibition focusing on Napoleon's Egyptian campaign, showcasing artwork such as Jean-Léon Gérôme's depiction of Napoleon outside Cairo surrounded by Mamluk mausoleums. It highlights the historical encounter between French forces and Egyptian heritage, emphasizing the cultural and military implications of the expedition. The content references scholarly and artistic interpretations of this event, illustrating the intersection of history and visual culture.",culture,9
Inventors Museum,"600 Dulany St, Alexandria, VA 22314",29.9981511,31.2164971,"historical_site, museum, tourist_hotspot","The Inventors Museum, housed in the United States Patent and Trademark Office’s Madison Building in Alexandria, offers exhibitions celebrating innovation and invention. Visitors must present a valid U.S. government-issued ID, and groups of ten or more need to reserve in advance via email. The museum is open Monday through Friday from 10 a.m. to 4 p.m., with limited Saturday hours on the first Saturday of each month; parking is available in the adjacent East Garage.",culture,4
Islamic Museum,Cairo,29.9965532,31.218377,"art_gallery, historical_site, museum","Museum of Islamic Art (MIA; Egyptian Arabic: متحف الفن الاسلامى) is a museum in Cairo, Egypt. It is considered one of the greatest museums in the world, with its exceptional collection of rare woodwork and plaster artefacts, as well as metal, ceramic, glass, crystal, and textile objects of all periods, from all over the Islamic world.",culture,9
