place_name,city,address,lat,lon,tags,category
Potato and Zlabaa,Cairo,,24.0919832,32.8964469,"restaurant, fast_food, local",food_drink
Koshary and Falafel Sandwiches,Cairo,Address not provided,24.0621209,32.8850625,"restaurant, budget, takeaway, popular, local",food_drink
Palestine,Cairo,"Nasr City, Cairo",24.0998065,32.9014806,"restaurant, local, family_friendly",food_drink
Mirabelle,South Sinai,"Nabq Bay, Egypt",24.0946389,32.8962805,"luxury, family_friendly, touristic, outdoor_seating",relaxation
Cheap Fish Restaurant,Cairo,,24.0903892,32.8995387,"restaurant, popular, local",food_drink
Ashri Toki,Cairo,"Madinaty Sports Club, Gate 6, Second New Cairo, Cairo Governorate 4771510, Egypt.",24.0907032,32.8915802,"restaurant, cozy, popular, family_friendly",food_drink
Baba Dooi,Cairo,"2 Al Borsa Al Gadida, Bab Al Louq, Abdeen, Cairo Governorate 4280150, Egypt",24.0943616,32.8915801,"restaurant, local, popular",food_drink
Local restaurant,Cairo,Near Cairo International Airport,24.0901468,32.8952171,"restaurant, local, popular",food_drink
Al masry,Aswan,"Aswan, Egypt",24.0927083,32.8987551,"restaurant, family_friendly, popular, local",food_drink
Chef Kahlil,Aswan,"Saad Zaghloul, Abu AR Rish Qebli",24.0985146,32.9015886,"restaurant, local, budget",food_drink
Rich Coffee,Cairo,17th of Talaat Harb Street,24.0900037,32.8950781,"cafe, historical_site, popular",food_drink
El Wensh,Cairo,El Shekh Zayed,24.1014135,32.9017634,"restaurant, delivery, popular, takeaway",food_drink
Falafel,Cairo,"53 Ibn El Nafees St., Intersection Of Hassan El Maamoun St., El Tayseer Medical Center Tower, Nasr city, Cairo, Egypt",23.9808867,32.8539651,"fast_food, budget, popular",other
Ismailia,Ismailia,"Km 54 - Ismailia-Suez Desert Road, Canal Road Intersection - Fayed - Inside the Coral Hotel",24.092523,32.899042,"restaurant, popular, local",food_drink
Abeer Restaurant,Aswan,Address not available,24.0991194,32.9007941,"restaurant, family_friendly, cozy, local",food_drink
Jambari Afendi,Aswan,Address not specified,24.0720701,32.8873274,"restaurant, local, popular",food_drink
Phosphorico Restaurant,Giza,"Ivory Business Park, Al Sheikh Zayed, Giza, Egypt.",24.1053175,32.9041197,"luxury, cozy, family_friendly",food_drink
Makka,Cairo,,24.0988808,32.9006439,"restaurant, local, budget",food_drink
Jamaica Guest House,Aswan,"Nubian dreams restaurant cafe, Sheyakhah Oula, Aswan 1, Aswan Governorate 81111",24.0894223,32.8910197,"local, popular, family_friendly",relaxation
Makka,Aswan,"24.0989422, 32.9007223, Egypt",24.0989422,32.9007223,"restaurant, local, popular",food_drink
King Jamaica Restaurant & Cafe,Aswan,"Elephantine Island, Aswan 81111 Egypt",24.0894069,32.8908624,"restaurant, family_friendly, popular",food_drink
Gamalat House,Luxor,"Near Habu temple, Al Bairat, West Bank, Luxor, Egypt",24.0597117,32.8625301,"luxury, touristic, cozy",other
Makani,South Sinai,"W89P+C96, طريق‍‍ السلام, خليج نعمة, Sharm El Sheikh 1, South Sinai Governorate 8761423, Egypt",24.0852998,32.8906005,"restaurant, cafe, delivery, popular",food_drink
Kana Kato Restaurant & cafe,Aswan,"Aswan, Egypt",24.0885437,32.8854316,"restaurant, local, touristic",food_drink
Seafood restaurant $,Cairo,Downtown,24.0722919,32.8874974,"cozy, local, touristic",food_drink
The African club restaurant and cafe,Cairo,"Makrem Ebeid Ext, Masaken Al Mohandesin, Cairo, Egypt",24.0631753,32.8854747,"restaurant, cafe, popular",food_drink
Soliah Restaurant,North Sinai,,24.0231607,32.8829807,"restaurant, family_friendly, budget, local",food_drink
Al Batanyoun Port parking,Sharqia,"Al Batanyoun Port, Sharqia, Egypt",24.0370488,32.8829133,"touristic, local, budget",activities
Negroni,Cairo,Heart of Heliopolis,23.9674109,32.8246018,"restaurant, cozy, popular",food_drink
KFC,Cairo,"El Bitash St.,In Front Of Omar Effendi EL BITASH, ALEXANDRIA  65 Safeya Zaghloul St. RAML STATION, ALEXANDRIA  20 Kaniset El Aqbat St.",24.0881264,32.8932372,"fast_food, family_friendly, takeaway, popular",other
Abu Al Hawa café,Aswan,"Aswan, Egypt",24.1343654,32.8807659,"cafe, touristic, family_friendly",food_drink
مطعم زبزو,Port Said,"77CW+HCJ, Port Fouad City, Port Said Governorate, EG",24.0853103,32.893404,"restaurant, budget, touristic, local",food_drink
كافي شوب الخان,Cairo,El,24.0849925,32.893542,"cafe, historical_site, local",food_drink
الجمهرية,Cairo,"7, berket el Ratl sq., El zaher, Cairo.",24.0787359,32.8954822,"fast_food, restaurant, takeaway, delivery",food_drink
Asywsy,Cairo,"23 Sad Al-aaly St, Malekah Tower Maadi",24.0616876,32.864415,"cafe, outdoor_seating, popular, local",food_drink
Kerma Restaurent,Cairo,Phone and Address,24.0625379,32.8639556,"luxury, cozy, restaurant",other
Dolty Kato,Aswan,"Nag Gharb siheil, Aswan 81526 (Egypt)",24.061108,32.8645564,"restaurant, cozy, family_friendly",food_drink
Sabahakato,Aswan,"3VQQ+6HW، شياخة أولى، قسم أسوان،, Aswan 1, Sheyakhah Oula, Aswan Governorate, EG",24.088382,32.8865153,"restaurant, family_friendly, touristic, local",food_drink
Nubawaidi,Hurghada,"Marina, Hurghada, Egypt",24.0880156,32.8853709,"restaurant, cafe, budget, cozy",food_drink
Aziza,Cairo,"6th Of October, Egypt",24.0863034,32.8870042,"restaurant, local, budget",food_drink
Nubian Cofe Coffee Shop,Luxor,"PJ88+RX9, Al Aqaletah, Luxor, Luxor Governorate 1341614, Egypt",24.0903646,32.8913727,"cozy, family_friendly, kid_friendly, quiet, touristic",food_drink
Sunset place,South Sinai,"Abu Heif Street, near El Fanar Beach, postal code 46619",24.0906393,32.8800791,"cafe, cozy, touristic",food_drink
Golden Cafe,Aswan,El,24.0750979,32.8855271,"cafe, cozy, family_friendly",food_drink
The View,Cairo,"29a Cornish El Nil, Maadi, 4211210, EG",24.1007258,32.9008258,"restaurant, popular, touristic",food_drink
Old nubian house,Aswan,"Philae aswan egypt, 81521, Egypt",24.0748127,32.8850976,"family_friendly, cozy, touristic, historical_site",other
Kayan,Cairo,"9 A Saray El Gezirah St., Inside Blue Nile Boat ZAMALEK, CAIRO",24.1086398,32.9001028,"cafe, restaurant, cozy",food_drink
Chinese Restaurant Xinyuezhong Canting,Cairo,Egypt,24.0823235,32.8898939,"restaurant, family_friendly, cozy",food_drink
Main Restaurant,Luxor,"27.8631794, 34.2968333",27.8631794,34.2968333,"restaurant, local, popular",food_drink
بست المغربي,Cairo,"5 El-Fishawi Street
Khan el-Khalili
Cairo, Egypt",28.2666915,33.6115365,"historical_site, cozy, touristic, family_friendly",food_drink
Fares,Sharm El Sheikh,"Sharm El Sheikh 2, South Sinai Governorate 8753231, Egypt",27.8663363,34.2933186,"restaurant, local, family_friendly",food_drink
El MASRIEN,South Sinai,"Sharm El Sheikh, Egypt",27.8658892,34.2937701,"restaurant, local, touristic",food_drink
Abo Ali,Sharqia,"8 E, El Ordoneya, Abdel Maqsoud Complex 10th OF RAMADAN, EL SHARKEYA",27.8855167,34.2998861,"restaurant, local, budget",food_drink
le cafe,Alexandria,"Smouha Club, Alexandria, Egypt",27.8719259,34.2989395,"cafe, cozy, family_friendly, takeaway",food_drink
Rayahen roastery,Cairo,118 Mustafa Al-Nahhas Street - next to the Crystal Furnace,27.8657067,34.2943627,"cozy, family_friendly, budget, local",food_drink
Sinai Star,South Sinai,"Al Quein, Sharm El Sheikh 2, South Sinai Governorate 8761130, Egypt",27.8656694,34.2939385,"restaurant, popular, local, budget",food_drink
Abo Ali 2,South Sinai,"Inside El Marwa Center, Shop No. 12, El Nour District, Sharm El Sheikh, Egypt",27.8637233,34.2980523,"restaurant, cafe, budget, local, popular",food_drink
Hatim Restaurant Suhraya,Cairo,"First Floor, Building No.36, Road No.206, Maadi, Cairo-11431, Egypt",27.8845197,34.2975997,"restaurant, family_friendly, local",food_drink
Bazzoka,Cairo,165 Nozha Street (Saint Fatima) - near Hejaz Square,28.2450231,33.6272568,"fast_food, popular, family_friendly, takeaway",food_drink
Eltabakh Restaurant,Cairo,"Cairo, Egypt",27.864627,34.2917837,"restaurant, budget, popular, local",food_drink
EsPresso,Cairo,"5th settlement, Downtown Mall Cairo",27.8645619,34.2918951,"cafe, popular, local",food_drink
Da Rosina,Egypt,B11 s i11 cs ;; i\f n na g e r,27.8655634,34.2951529,"popular, local, historical_site",food_drink
El Hossieny,South Sinai,"شارع ملك البحرين, شرم الشيخ, EG",27.8672094,34.2933227,"cozy, family_friendly, popular",food_drink
Brazilian Coffee Store,South Sinai,97 3bd El Salam 3aref st.,27.867461,34.2936999,"cafe, takeaway, delivery, popular, family_friendly",food_drink
Brazilian Coffee Store,Alexandria,"20 Salah Salem St.,In Front Of Alex Bank EL MANSHEYA, ALEXANDRIA",27.8674471,34.2936868,"cafe, historical_site, popular, local",food_drink
Jewel of the Nil,Luxor,"Al Rawda Al Sharifa, Luxor, Egypt",25.6867839,32.6364123,"restaurant, budget, family_friendly, touristic",food_drink
Lotus,Cairo,"Cairo, Egypt",25.691054,32.635064,"family_friendly, outdoor_seating, cozy",other
Tutti Frutti,Luxor,"Luxor, Egypt",25.6874599,32.6346703,"restaurant, popular, touristic",food_drink
Chez Omar / Egyptian Corner,Luxor,"الشارع يوسف حسن, الاقصر, EG",25.7019602,32.6437635,"restaurant, cafe, quiet",food_drink
Oum Hashim,Luxor,"OUM HASHIM RESTAURANT, Luxor",25.7022396,32.6439769,"restaurant, touristic, local, budget",food_drink
Coffee Shop Aal al‑Bayt,Luxor,,25.7016527,32.6431414,"cafe, local, popular",food_drink
McDonald's,Cairo,Al Sayed Al Marghany Street 110,25.6985459,32.6400857,"fast_food, family_friendly, popular, takeaway",other
Ali Baba Cafe,Cairo,,25.6981936,32.6395917,"cozy, popular, local",food_drink
Sibads,Red Sea,"Hurghada, Egypt",25.697345,32.6393623,"luxury, family_friendly, touristic",food_drink
Aboudi Restaurant,Luxor,"شارع معبد الكرنك، أمام مسجد سيدي ابوالالحاجص،, Luxor, Luxor Governorate, Egypt",25.6985836,32.6401539,"restaurant, cafe, romantic, popular, touristic",food_drink
Sofra,Giza,"20 El Nahda St., Dokki 12611, Giza, Egypt",25.6948929,32.6422607,"restaurant, cozy, historical_site",food_drink
Pizza Hut,Cairo,"1 Mohamed Mahmoud St., El Tahrir Sq. DOWNTOWN, CAIRO",25.6851144,32.6303241,"restaurant, takeaway, delivery, popular",food_drink
KFC,Alexandria,"El Bitash St.,In Front Of Omar Effendi EL BITASH, ALEXANDRIA",25.6850255,32.6300036,"fast_food, family_friendly, popular",food_drink
Elhaty Restaurant,Giza,"Nady El Seid St., Dokki, Giza Inside Egyptian Shooting Club, Gate 4",25.696583,32.6439375,"restaurant, takeaway, delivery",food_drink
Café Latte,Cairo,Cairo’s southern suburb of Maadi,25.6985239,32.6400151,"cafe, cozy, local",food_drink
African Cuisine Restaurant,Cairo,"Al Azhar Park, Shari‘ Salah Salem, Cairo, Egypt",25.7046954,32.6335257,"restaurant, touristic, cozy",food_drink
Pub 2000 Esquire,Luxor,Address not provided,25.6917114,32.6352441,"budget, family_friendly, local",food_drink
Blue Sky Restaurant,Luxor,,25.7020452,32.6332761,"restaurant, touristic, popular",food_drink
Abo Eltaher,Cairo,"308 A El Tharwa El Maadaneya St.,Gate 1 EL HARAM, GIZA",25.6958799,32.6417511,"bakery, family_friendly, local, cozy",food_drink
Desert Rose,Hurghada,"Hurghada, Egypt",25.7172119,32.6013218,"cozy, outdoor_seating, juice",food_drink
El Zaeem,Luxor,"47 Mohamed Mahmoud Street, Beside Radio Shack",25.694829,32.6399547,"restaurant, delivery, local",food_drink
بندق,Luxor,"Luxor City, Egypt",25.6936295,32.6394602,"budget, local, touristic",food_drink
Kam Thai,Luxor,,25.6866674,32.6350118,"restaurant, popular, local",food_drink
Nour el balad,Cairo,El Nil El Abyad St.,25.7172423,32.5957457,"bakery, restaurant, local",food_drink
Pizza Roma.it,Luxor,"St. Joseph Street, Elwamya, Luxor, Egypt",25.6884689,32.6346382,"restaurant, cozy, popular",food_drink
Quick pizza,Cairo,"Cairo, Egypt",25.6925802,32.6401146,"restaurant, family_friendly, budget",food_drink
Kher and Baraka restaurant,Cairo,"Location 4 El Sayeda Aaesha St., Cairo 11511 Egypt",25.7017363,32.6436201,"restaurant, family_friendly, local",food_drink
Panorama Restaurant & Coffee,Aswan,"P O Box 62 Elephantine Island, aswan, Egypt",25.7300187,32.6143532,"romantic, luxury, touristic",food_drink
El Fayrouz,Cairo,"Mostafa Kamel, Egypt",25.7052581,32.6315787,"restaurant, local, popular",food_drink
Abu el Hasan Shazly,Cairo,"El Guish Rd.,In Front Of Alex Engineering Club SABA PASHA, ALEXANDRIA",25.6953885,32.6420551,"popular, local, budget",other
Maratonga,Luxor,"Medinet Habu, El Bairat, Luxor, Westbank, Egypt",25.7182172,32.6023209,"restaurant, cozy, historical_site, family_friendly",food_drink
Banana Island,Luxor,"Al Bairat Algorf, Al Qarna, Luxor, Egypt",25.6860251,32.6218399,"touristic, cafe, family_friendly, outdoor_seating",activities
مطعم أحباب الحبيب,Port Fouad City,"77CW+HCJ, Port Fouad City, Port Said Governorate, EG",25.6956629,32.6420172,"restaurant, budget, local, fast_food",food_drink
Moaa,Luxor,,25.7150704,32.6493255,"popular, local, historical_site",activities
Oasis Palace,Luxor,"Luxor, Egypt",25.7050079,32.6438871,"restaurant, cafe, popular",food_drink
Abo Ashraf,Alexandria,"Suez Canal St.,In Front Of Police Hospital DOWNTOWN, ALEXANDRIA  30 Safar Pasha St. EL GOMROK, ALEXANDRIA  Km 82.5,Inside Zahran City Park, 2nd Floor ALEX. MATROUH DESERT RD., North Coast",25.6976647,32.6430015,"restaurant, delivery, family_friendly, local",food_drink
elhareef grills,Cairo,"30 Matareya Street, the end of Nasouh Street",25.6900024,32.6408902,"restaurant, local, takeaway",food_drink
Alaa el Din,Cairo,"57 Saqr Qoraish Bldgs. El Nasr St.,Near To Radisson Blu Hotel - Cairo Heliopolis HELIOPOLIS, CAIRO",25.6994016,32.6411458,"restaurant, delivery, family_friendly",food_drink
Crocodile,Luxor,"شارع مساكن المساحة, الاقصر, EG",25.7033308,32.6331176,"restaurant, popular, local",food_drink
Al-Sahaby Lane,Luxor,"Nefertiti Hotel, El Sahabi Street, via Karnak Temple St, Luxor, Egypt",25.7024206,32.6427341,"restaurant, popular, touristic, local",food_drink
Jamboree Restaurant,Luxor,"middle of the old Luxor market, next to the Luxor Temple.",25.7011892,32.6426272,"restaurant, touristic, historical_site",food_drink
Al-Sahaby Lane Restaurant,Luxor,"Al-Sahaby Street, Luxor City, Luxor, Luxor Governorate 85951, Egypt",25.7015002,32.642333,"restaurant, outdoor_seating, delivery, family_friendly",food_drink
Sunflower Restaurant,Luxor,"Al Baairat Village, Luxor, Egypt",25.7030792,32.6334097,"restaurant, touristic, local",food_drink
Street food with tables. 5egp for 1 falafel sandwich,Cairo,"Imbaba, Cairo, Egypt",25.6960086,32.6425795,"local, budget, takeaway, outdoor_seating",food_drink
El Zaeem Restaurant,Luxor,"Youssef Hassan St., LUXOR, Luxor, Luxor in Front Of Lotus mall",25.7014565,32.643919,"restaurant, local, touristic",food_drink
Peace Abou Zeid,Luxor,,25.7108749,32.645977,"restaurant, family_friendly, local",food_drink
Shababik Luxor Cafe -كافيه شبابيك الأقصر,Luxor,"Luxor, Egypt",25.6867032,32.6349349,"cafe, cozy, family_friendly",food_drink
Aladdin‘s Kingdom Restaurant,Luxor,"El jorf, Luxor 00000 Egypt.",25.6862829,32.6214526,"restaurant, family_friendly, local, touristic",food_drink
Restaurant Mohammed,Cairo,"Mohammed Nagib Axis, 27011, Cairo, Al Qāhirah, Egypt",25.7225074,32.6046519,"restaurant, popular, local",food_drink
Al zaeem,Luxor,"Youssef Hassan St., LUXOR, Luxor, Luxor in Front Of Lotus mall",25.6945083,32.6356881,"restaurant, local, budget",food_drink
badia Café,Luxor,,25.6870891,32.6299487,"cafe, cozy, popular",food_drink
Koshari,Cairo,downtown Cairo,25.6986224,32.6414552,"restaurant, budget, popular, local, takeaway",food_drink
Sunflower Garden,Luxor,"Al Bairat, Luxor, Egypt",25.7056247,32.6321968,"restaurant, popular, local",food_drink
Gerda's Garden,Luxor,"Ali Ibn Abi Taleb, Gazirat Al Awameyah, Luxor, Luxor Governorate 1362130, Egypt",25.6916896,32.6364598,"cozy, romantic, outdoor_seating",food_drink
Marina,Matrouh,"Km 105, Alex Matrouh Desert Rd., Marina 3, Marina, North coast Inside Porto Marina Resort & Spa",25.7141281,32.6478525,"restaurant, luxury, outdoor_seating",food_drink
Local street food,Cairo,"Dokki, Cairo, Egypt",25.7055152,32.6336809,"fast_food, local, popular, budget",food_drink
Juice Bar,Cairo,"Phase 1, 2nd Floor Heliopolis",25.6981257,32.6422509,"cafe, bakery, restaurant",food_drink
THEBES Restaurant,Luxor,"Ramla, Luxor.",25.7019412,32.6332095,"restaurant, juice, outdoor_seating",food_drink
Al Ramsseum,Luxor,"West Bank Qurna, near the Ramesseum, Luxor, Egypt",25.7289528,32.6121196,"restaurant, cafe, juice, outdoor_seating, touristic",food_drink
El Sayeda Zainab Restaurant,Luxor,"Al Baairat Village, Egypt",25.7092195,32.6312569,"restaurant, local, touristic",food_drink
El Kababgy,South Sinai,"Naama Bay 46619, South Sinai, Egypt",25.6967102,32.6360606,"restaurant, luxury, local, touristic",food_drink
Good cheap falafel,Cairo,"Cairo, Egypt",25.6941226,32.6397749,"fast_food, budget, popular",food_drink
Good cheap vegetarian street food,Cairo,Address not provided,25.6944096,32.6397348,"budget, fast_food, local, takeaway",other
Good cheap vegetarian fast food,Cairo,"Downtown Cairo, Egypt",25.6944232,32.6394906,"restaurant, takeaway, local",food_drink
Good Arabic fast food,Cairo,6-October sheikh-zayed Mall of Arabia,25.6934044,32.6402001,"fast_food, delivery, popular, local",food_drink
The farmer's House,Cairo,,25.6868388,32.6222582,"historical_site, local, popular",culture
Snack Time,Qalyubia,,25.6986323,32.6402876,"fast_food, takeaway, budget, local",food_drink
El Hussein Restaurant,Luxor,"Luxor, Egypt",25.7058644,32.633175,"restaurant, local, touristic",food_drink
Alcaptain Restaurant,Cairo,"48 Gesr El Suez St., In Front Of Faculty Of Education, Cairo, Egypt",25.7000119,32.6321575,"restaurant, fast_food, budget, local",food_drink
Green Oasis,Cairo,"66 Omar El Khattab St. Heliopolis, Cairo, Egypt",25.7004732,32.630979,"restaurant, luxury, outdoor_seating",food_drink
Gerda's Garden,Luxor,"Ali Ibn Abi Taleb, Gazirat Al Awameyah, Luxor, Luxor Governorate 1362130, Egypt",25.6916774,32.6367125,"restaurant, cozy, romantic, outdoor_seating, popular",food_drink
Hotel El Gezira,Luxor,"Village of Geziret-el-Beirat near the river Nile, West Bank of the Nile, Luxor, Egypt",25.7050771,32.632831,"family_friendly, outdoor_seating, touristic",relaxation
Station Cafeteria,Cairo,"Cairo, Egypt",25.6965167,32.6447497,"cafe, historical_site, popular",food_drink
Mamma Mia,Luxor,,25.6885504,32.6344419,"restaurant, popular, touristic",food_drink
Ramses Restaurant & Cafe,Cairo,"1115 Nile Corniche, Cairo, Egypt",25.7180993,32.6022361,"luxury, romantic, restaurant",food_drink
Nile Rose Café Restaurant,Luxor,"البعيرات، الرمله, Egypt",25.6994094,32.6317498,"restaurant, cafe, quiet, cozy",food_drink
Wannas Art Cafe Vegetarian Restaurant,Luxor,,25.7046764,32.6325544,"restaurant, cafe, touristic, cozy",food_drink
Moon Cafe,Luxor,"Al Baairat Village, Egypt",25.7035565,32.6329136,"restaurant, cafe, touristic",food_drink
Nile Freedom,Luxor,,25.6999952,32.631807,"touristic, popular, restaurant",food_drink
Rmallah,Luxor,,25.6878977,32.6350381,"cafe, cozy, family_friendly, popular, local",food_drink
كافيه افندينا,Giza,"اللبيني هرم ٦شارع الشعراوي اعلى نفق اللبيني هرم امام رامبل جيم , Giza, Egypt",25.8980508,32.7202854,"cafe, cozy, local",food_drink
Rustic House,Luxor,,25.6961937,32.6288426,"budget, family_friendly, restaurant",food_drink
Mamlouk Tagine,Hurghada,"شارع المدارس, الغردقة, EG",25.7086339,32.6324282,"restaurant, cozy, popular",food_drink
Hekaya Restaurant,Cairo,"Gesr El Suez, Cairo, Egypt",25.7060233,32.6330468,"takeaway, fast_food, restaurant",food_drink
Temple View,Cairo,"29a Cornish El Nil, Maadi, 4211210, EG",25.7015038,32.6329068,"restaurant, local, popular",food_drink
Two Stories,Luxor,"Al Baairat Village, Egypt",25.7013473,32.6328215,"restaurant, cozy, local",food_drink
Mystic Pizza,Luxor,"25.701311, 32.6328062, Luxor, Egypt",25.701311,32.6328062,"restaurant, family_friendly, cozy",food_drink
Al Hassan,Giza,"12 Ahmed Kamel St, Corner of Omar Ibn El Khatab St.  Mohafzt Elgiza, Haram and Faisal",25.7052864,32.6332767,"restaurant, fast_food, takeaway",food_drink
Nile View,Cairo,"Nile City Towers 2005 B, Corniche El Nil, Ramlet Beaulac, 2466, CAIRO, Egypt",25.7053901,32.6335703,"restaurant, family_friendly, outdoor_seating",food_drink
Bil Hana Wa Shifa,Luxor,"Al Qarna Rd Al Bairat, Luxor, Egypt",25.7051797,32.6333544,"restaurant, family_friendly, touristic, local",food_drink
Shisha,Giza,"Grand Cafe, Giza, Egypt",25.7050116,32.6334533,"cozy, romantic, popular",food_drink
Nile Panorama,Luxor,"Luxor , West Bank , Albairat , Jorf, Luxor, Egypt",25.7100475,32.6393301,"restaurant, family_friendly, outdoor_seating, kid_friendly",other
Nubian House,Luxor,"Al Bairat, Luxor, Luxor Governorate 1345173, Egypt",25.6984302,32.6307716,"restaurant, family_friendly, local, touristic",food_drink
Tut Ankh Amoun,Luxor,"Al-Gezira West Bank, Luxor, Egypt",25.7027158,32.6337101,"restaurant, takeaway, touristic",food_drink
El Waha,Luxor,,25.7039702,32.633435,"restaurant, cafe, cozy, popular, local",food_drink
Abu Aya,Luxor,Not available,25.6973613,32.6292839,"restaurant, popular, local",food_drink
Nile Panorama,Luxor,"Luxor , West Bank , Albairat , Jorf, Luxor, Egypt",25.7048684,32.634068,"restaurant, family_friendly, kid_friendly, luxury",food_drink
Shisha,Giza,"Grand Cafe, Giza, Egypt",25.7047777,32.6335215,"cafe, romantic, cozy, budget, local",food_drink
Little Nile Beach,Luxor,"Al Baairat Village, Egypt",25.6987359,32.6309414,"restaurant, cozy, popular, local",food_drink
Al Moez,Cairo,"Khan El Khalili, Al Moez Street, Cairo, Egypt",25.7053268,32.633258,"historical_site, touristic, popular",culture
Le Gourmet,Giza,"Giza, Egypt",25.7018382,32.6318434,"bakery, cafe, family_friendly",food_drink
Jamba Juice,Alexandria,"Alexandria, Egypt",25.703025,32.6338275,"cafe, juice, takeaway",food_drink
Villa Sunrise Guest House,Red Sea,,25.701982,32.6332436,"luxury, cozy, family_friendly, touristic",other
West Bank Nile Palace,Luxor,,25.7018243,32.6330784,"restaurant, popular, touristic",food_drink
Rose of Al-Jorf,Cairo,"Obour City, Kaliobeya Rd. No. 30, 1st Industrial Zone",25.6930668,32.6221601,"bakery, restaurant, budget, popular",food_drink
Paris Restaurant,Cairo,,25.7182511,32.614708,"restaurant, family_friendly, budget, local",food_drink
Al Mina,Ismailia,Egypt شركة المينا فودز للصناعات الغذائية – الكيلو 82 طريق القاهرة الاسکندرية الزراعي,25.7099505,32.6389164,"bakery, local, family_friendly",food_drink
Sunset,Luxor,"Unnamed Road, Al Bairat, Al Qarna, Luxor Governorate 1345175, Egypt",25.7020095,32.6311802,"restaurant, romantic, touristic, family_friendly",food_drink
Arabia Cafeteria,Cairo,10 Ibrahim St. El Korba Sq. Beside Starbucks Cafe,25.6818977,32.635722,"cafe, restaurant, local",food_drink
Assad younan,Cairo,"r. el-Midan, 41",25.7007188,32.6490672,"restaurant, local, budget",food_drink
Karnak Stuff,Cairo,Villages Rd.,25.7185463,32.6523407,"cozy, family_friendly, budget",food_drink
Ghoreya Cafe,Cairo,2 El Mazloum St. Off Bab El Louq St. El Falaky Sq. in Front Of Italian Chamber Of Commerce In Egypt,25.7150666,32.6493268,"cafe, local, popular",food_drink
El Karnak,Cairo,48 ش مجلس الامة، الجزيرة الجديدة، عابدين، محافظة القاهرة‬، Egypt,25.7217086,32.6537935,"restaurant, local, popular",food_drink
Olives,Luxor,"Nile, Luxor",25.7297564,32.6566663,"restaurant, luxury, touristic, popular",food_drink
Genesis,Giza,"Giza, Egypt",25.7286603,32.6584963,"restaurant, outdoor_seating, touristic",food_drink
Gerda's Garden,Luxor,"Ali Ibn Abi Taleb, Gazirat Al Awameyah, Luxor, Luxor Governorate 1362130, Egypt",25.7292676,32.6589823,"restaurant, cozy, romantic, outdoor_seating, popular",food_drink
Gayer-Anderson Museum,Cairo,Salah al-Din Square  Saliba Street  Al-Darb al-Ahmar  Qasaba of Radwan Bey (Tentmakers' Street),30.0283804,31.2507258,"historical_site, touristic, local",culture
Galaxy,Cairo,"Abdulaziz Al Saud 67, Al Manyal Al Gharbi, EG",30.0175359,31.2231997,"family_friendly, kid_friendly, popular",entertainment
Gomhouria,Cairo,"23 ELSAWAH ST., CAIRO, EGYPT.",30.0460126,31.2463568,"touristic, family_friendly, popular",culture
Modern,Giza,"6th of October City, Giza Governorate, Egypt",30.1026337,31.2460576,"touristic, popular, local",culture
Masallat Al-Matareya,Cairo,,30.1294036,31.3074812,"historical_site, touristic, family_friendly",culture
Al-Zaeem,Giza,"47 Mohamed Mahmoud Street, Beside Radio Shack, Abdeen, Downtown",29.9948883,31.1616668,"restaurant, fast_food, delivery, local",food_drink
Bab Al-Nasr,Cairo,al-Gamaliya Street,30.0542304,31.2648995,"historical_site, touristic, popular",culture
Bab Al-Mazhareya,Cairo,Burg al-Zafar Street,30.0565166,31.2613649,"historical_site, touristic, local",culture
Roxy,Cairo,39 El Khalifa El Maamoun St. Beside Roxy Cinema,30.0934241,31.3156978,"restaurant, family_friendly, takeaway, budget",food_drink
Normandy,Cairo,Phone and Address,30.0922295,31.3221794,"family_friendly, touristic, outdoor_seating, popular",entertainment
City Center,Cairo,"Almaza City Center, Sheraton Al Matar, Qism El-Nozha",30.0683421,31.3446867,"family_friendly, budget, touristic",entertainment
Egyptian Geological Museum,Giza,"43 N Area, Ahmed Allam St, Pyramids Garden, Giza, Egypt",29.9961855,31.2287249,"historical_site, touristic, family_friendly",culture
falluka rides,Cairo,"downtown Cairo, Egypt",29.9569275,31.2505059,"historical_site, popular, touristic",activities
Zamalek Theater,Cairo,"13Shagaret El Dor St., Zamalek - Cairo",30.0615684,31.2189826,"family_friendly, budget, popular",entertainment
Serapheum,Cairo,"Saqqara, Egypt",29.8760471,31.2100388,"historical_site, touristic, popular",culture
Family Cinema,Cairo,Favourite Metro Cairo Cinema,29.9649299,31.2468754,"luxury, family_friendly, kid_friendly",entertainment
Masrah Negm,Cairo,"Cairo, Egypt",30.0385649,31.2108722,"family_friendly, touristic, popular",entertainment
Nilometer in Rhoda Island,Cairo,"Al-Fustat, Old Cairo, Egypt",30.0069316,31.2250004,"historical_site, touristic, quiet, local",culture
Wax museum,Helwan,"Suburb of Helwan, near Ain Helwan Metro station",29.8601958,31.3257085,"historical_site, touristic, family_friendly",culture
Om Kalthom Museum,Cairo,"Roda Island, Old Cairo, Egypt",30.0076221,31.2248842,"historical_site, touristic, local",culture
Mastaba of Meruduka,Giza,"Saqqara Necropolis, Giza Governorate, Egypt",29.8833055,31.2166617,"historical_site, touristic, popular, local",culture
Wissa Wassef Art Center,Harrania,"Sakara Road, Harrania, Al Labeini axis, Al Haraneyah, Giza Governorate 12556, Egypt.",29.9692025,31.176465,"touristic, historical_site, family_friendly, local",culture
